family,source_file,page,section,source_id,source_item_id,item_key,exact_item_text,details,response_options,lifecycle_phase,readiness_domain,default_responsible_role_suggestion,source_traceability_requirement
startup,Project_Startup_Checklist(2).pdf,1,Review Owner's Contract,1.1,startup.1.1,startup.review-owners-contract.1.1,Split savings clause if any & Contingency usage parameters,,,preconstruction,contract-readiness,Project Manager / Project Executive,"Project_Startup_Checklist(2).pdf page 1, section 'Review Owner's Contract', item 1.1"
startup,Project_Startup_Checklist(2).pdf,1,Review Owner's Contract,1.2,startup.1.2,startup.review-owners-contract.1.2,Liquidated damages are?,,,preconstruction,contract-readiness,Project Manager / Project Executive,"Project_Startup_Checklist(2).pdf page 1, section 'Review Owner's Contract', item 1.2"
startup,Project_Startup_Checklist(2).pdf,1,Review Owner's Contract,1.3,startup.1.3,startup.review-owners-contract.1.3,Any other special terms to be aware of?,,N/A / Yes / No,preconstruction,contract-readiness,Project Manager / Project Executive,"Project_Startup_Checklist(2).pdf page 1, section 'Review Owner's Contract', item 1.3"
startup,Project_Startup_Checklist(2).pdf,1,Review Owner's Contract,1.4,startup.1.4,startup.review-owners-contract.1.4,Allowances to track- Set up change event to track,,N/A / Yes / No,preconstruction,contract-readiness,Project Manager / Project Executive,"Project_Startup_Checklist(2).pdf page 1, section 'Review Owner's Contract', item 1.4"
startup,Project_Startup_Checklist(2).pdf,1,Job Start-up,2.1,startup.2.1,startup.job-start-up.2.1,Review Bonding / SDI Requirements (HB and Subcontractor),,N/A / Yes / No,preconstruction,startup-readiness,Project Manager / Superintendent / Project Accounting as applicable,"Project_Startup_Checklist(2).pdf page 1, section 'Job Start-up', item 2.1"
startup,Project_Startup_Checklist(2).pdf,2,Job Start-up,2.2,startup.2.2,startup.job-start-up.2.2,Complete Bond Application(s) and Submit to CFO to obtain (If Applicable),,N/A / Yes / No,preconstruction,startup-readiness,Project Manager / Superintendent / Project Accounting as applicable,"Project_Startup_Checklist(2).pdf page 2, section 'Job Start-up', item 2.2"
startup,Project_Startup_Checklist(2).pdf,2,Job Start-up,2.3,startup.2.3,startup.job-start-up.2.3,Verify project is set up job in Accounting,,N/A / Yes / No,preconstruction,startup-readiness,Project Manager / Superintendent / Project Accounting as applicable,"Project_Startup_Checklist(2).pdf page 2, section 'Job Start-up', item 2.3"
startup,Project_Startup_Checklist(2).pdf,3,Job Start-up,2.4,startup.2.4,startup.job-start-up.2.4,Verify job is set up in Procore (see Job Set Up Procedures),,N/A / Yes / No,preconstruction,startup-readiness,Project Manager / Superintendent / Project Accounting as applicable,"Project_Startup_Checklist(2).pdf page 3, section 'Job Start-up', item 2.4"
startup,Project_Startup_Checklist(2).pdf,3,Job Start-up,2.5,startup.2.5,startup.job-start-up.2.5,Job Turnover Meeting from Estimating to Project Team,,N/A / Yes / No,preconstruction,startup-readiness,Project Manager / Superintendent / Project Accounting as applicable,"Project_Startup_Checklist(2).pdf page 3, section 'Job Start-up', item 2.5"
startup,Project_Startup_Checklist(2).pdf,3,Job Start-up,2.6,startup.2.6,startup.job-start-up.2.6,Have Budget rolled from Sage Estimating to Accounting (if Applicable),,N/A / Yes / No,preconstruction,startup-readiness,Project Manager / Superintendent / Project Accounting as applicable,"Project_Startup_Checklist(2).pdf page 3, section 'Job Start-up', item 2.6"
startup,Project_Startup_Checklist(2).pdf,3,Job Start-up,2.7,startup.2.7,startup.job-start-up.2.7,Have Budget rolled from Sage Accounting to Procore,,N/A / Yes / No,preconstruction,startup-readiness,Project Manager / Superintendent / Project Accounting as applicable,"Project_Startup_Checklist(2).pdf page 3, section 'Job Start-up', item 2.7"
startup,Project_Startup_Checklist(2).pdf,3,Job Start-up,2.8,startup.2.8,startup.job-start-up.2.8,Order Project Signs through HB Marketing Detartment,,N/A / Yes / No,preconstruction,startup-readiness,Project Manager / Superintendent / Project Accounting as applicable,"Project_Startup_Checklist(2).pdf page 3, section 'Job Start-up', item 2.8"
startup,Project_Startup_Checklist(2).pdf,3,Job Start-up,2.9,startup.2.9,startup.job-start-up.2.9,Enter Drawings and Specifications in Procore,,N/A / Yes / No,preconstruction,startup-readiness,Project Manager / Superintendent / Project Accounting as applicable,"Project_Startup_Checklist(2).pdf page 3, section 'Job Start-up', item 2.9"
startup,Project_Startup_Checklist(2).pdf,1,Job Start-up,2.10,startup.2.10,startup.job-start-up.2.10,Contract to Owner with Schedule of Values/ Pay app,,N/A / Yes / No,preconstruction,startup-readiness,Project Manager / Superintendent / Project Accounting as applicable,"Project_Startup_Checklist(2).pdf page 1, section 'Job Start-up', item 2.10"
startup,Project_Startup_Checklist(2).pdf,2,Job Start-up,2.11,startup.2.11,startup.job-start-up.2.11,Obtain all Subcontractor COI prior to MOB,,N/A / Yes / No,preconstruction,startup-readiness,Project Manager / Superintendent / Project Accounting as applicable,"Project_Startup_Checklist(2).pdf page 2, section 'Job Start-up', item 2.11"
startup,Project_Startup_Checklist(2).pdf,2,Job Start-up,2.12,startup.2.12,startup.job-start-up.2.12,Provide owner Certificate of Insurance,,N/A / Yes / No,preconstruction,startup-readiness,Project Manager / Superintendent / Project Accounting as applicable,"Project_Startup_Checklist(2).pdf page 2, section 'Job Start-up', item 2.12"
startup,Project_Startup_Checklist(2).pdf,2,Job Start-up,2.13,startup.2.13,startup.job-start-up.2.13,Complete and Record Notice of Commencement,,N/A / Yes / No,preconstruction,startup-readiness,Project Manager / Superintendent / Project Accounting as applicable,"Project_Startup_Checklist(2).pdf page 2, section 'Job Start-up', item 2.13"
startup,Project_Startup_Checklist(2).pdf,2,Job Start-up,2.14,startup.2.14,startup.job-start-up.2.14,Set up Job Files,,N/A / Yes / No,preconstruction,startup-readiness,Project Manager / Superintendent / Project Accounting as applicable,"Project_Startup_Checklist(2).pdf page 2, section 'Job Start-up', item 2.14"
startup,Project_Startup_Checklist(2).pdf,2,Job Start-up,2.15,startup.2.15,startup.job-start-up.2.15,Set up Management Plan & Logistics plan (Pre-Planning/Staging Meeting),,N/A / Yes / No,preconstruction,startup-readiness,Project Manager / Superintendent / Project Accounting as applicable,"Project_Startup_Checklist(2).pdf page 2, section 'Job Start-up', item 2.15"
startup,Project_Startup_Checklist(2).pdf,2,Job Start-up,2.16,startup.2.16,startup.job-start-up.2.16,Prepare Project Schedule,,N/A / Yes / No,preconstruction,startup-readiness,Project Manager / Superintendent / Project Accounting as applicable,"Project_Startup_Checklist(2).pdf page 2, section 'Job Start-up', item 2.16"
startup,Project_Startup_Checklist(2).pdf,2,Job Start-up,2.17,startup.2.17,startup.job-start-up.2.17,Complete Submittal Register in Procore,,N/A / Yes / No,preconstruction,startup-readiness,Project Manager / Superintendent / Project Accounting as applicable,"Project_Startup_Checklist(2).pdf page 2, section 'Job Start-up', item 2.17"
startup,Project_Startup_Checklist(2).pdf,2,Job Start-up,2.18,startup.2.18,startup.job-start-up.2.18,Enter items in Job Close-out,,N/A / Yes / No,preconstruction,startup-readiness,Project Manager / Superintendent / Project Accounting as applicable,"Project_Startup_Checklist(2).pdf page 2, section 'Job Start-up', item 2.18"
startup,Project_Startup_Checklist(2).pdf,2,Job Start-up,2.19,startup.2.19,startup.job-start-up.2.19,Pre-Construction meeting with City/County/Fire/Building (Verify their checklist),,N/A / Yes / No,preconstruction,startup-readiness,Project Manager / Superintendent / Project Accounting as applicable,"Project_Startup_Checklist(2).pdf page 2, section 'Job Start-up', item 2.19"
startup,Project_Startup_Checklist(2).pdf,2,Job Start-up,2.20,startup.2.20,startup.job-start-up.2.20,Pre-Construction Meeting with Owner,,N/A / Yes / No,preconstruction,startup-readiness,Project Manager / Superintendent / Project Accounting as applicable,"Project_Startup_Checklist(2).pdf page 2, section 'Job Start-up', item 2.20"
startup,Project_Startup_Checklist(2).pdf,2,Job Start-up,2.21,startup.2.21,startup.job-start-up.2.21,Verify owner has provided Threshold & Testing company/under contract,,N/A / Yes / No,preconstruction,startup-readiness,Project Manager / Superintendent / Project Accounting as applicable,"Project_Startup_Checklist(2).pdf page 2, section 'Job Start-up', item 2.21"
startup,Project_Startup_Checklist(2).pdf,2,Job Start-up,2.22,startup.2.22,startup.job-start-up.2.22,Verify need for Photo/Video Surveys of any adjacent property/Structures,,N/A / Yes / No,preconstruction,startup-readiness,Project Manager / Superintendent / Project Accounting as applicable,"Project_Startup_Checklist(2).pdf page 2, section 'Job Start-up', item 2.22"
