domain_cluster,tool_family,representative_endpoints,scope_level,likely_grain,key_fields_and_join_paths,analytical_value,inclusion_recommendation,notes,source_url
Platform,REST API Overview,REST API overview / versioning / changelog,mixed,documentation/operational,"versioning, URL structure, changelog",Integration governance and change tracking,core,Modeling should assume ongoing version drift and changelog monitoring,https://developers.procore.com/reference/rest/docs/rest-api-overview
Platform,API Lifecycle,API lifecycle phases,mixed,documentation/operational,active/deprecated/sunset,Controls endpoint maturity and retirement risk,core,Use lifecycle status as a source-selection filter,https://developers.procore.com/reference/rest/docs/rest-api-lifecycle
Platform,Authentication,OAuth auth code / client credentials / DMSA,company/app,security/session,"company access scope, user scope, service-account scope",Determines extraction architecture,core,Client credentials + DMSA is preferred for data connection workloads,https://procore.github.io/documentation/oauth-client-credentials
Platform,Pagination and Rate Limits,"pagination, link headers, rate limits",mixed,operational,"Link headers, page traversal, rate ceilings",Impacts bulk sync and backfill design,core,"Build throttling, checkpointing, and resumable extraction",https://developers.procore.com/documentation/pagination
Platform,Webhooks,webhook resources,mixed,event registration,changed resource notifications,Useful for near-real-time refresh,recommended,"Use as delta accelerator, not sole source of truth",https://developers.procore.com/reference/rest/webhook-resources
Core,Companies,companies,company,one row per visible company,"company id, company name",top-level tenant anchor,core,Foundational anchor for all downstream data,https://developers.procore.com/reference/rest/companies
Core,Projects,projects,company/project,one row per project,"company_id, project_id, status, metadata",portfolio/project rollups,core,Primary project dimension,https://developers.procore.com/reference/rest/projects?version=1.1
Core,Company Settings,company settings/configurations,company,one row per company/tool setting,company config and defaults,Governance and normalization context,recommended,"Mostly reference/configuration, not primary analytics",https://developers.procore.com/reference/rest/company-settings
Core,Project Tools,project tools,project,one row per project-tool enablement,"project_id, tool_name, enabled/available",Tool adoption and capability analysis,recommended,Useful as feature enablement bridge,https://developers.procore.com/reference/rest/project-tools
Core,Project Dates,project dates,project,one row per project date record,"project_id, milestone/date type, date",portfolio milestone views,recommended,Useful for milestone snapshots and schedule context,https://developers.procore.com/reference/rest/project-dates
Core,Open Items,open items stats,project,project-period/stat snapshot,"project_id, counts by open-item category",lightweight health snapshot,recommended,"High-value KPI snapshot, not detailed transactions",https://developers.procore.com/reference/rest/open-items
Core,Locations and Links,locations / links,project,one row per location or link,"project_id, location hierarchy, linked records",Join aid for field/document facts,recommended,Locations are highly valuable; links are secondary metadata,https://developers.procore.com/reference/rest/locations?version=1.1
Directory,Users and People,company users / project users / project people,company/project,one row per user-project-company association,"user_id, company_id, project_id, roles, permissions","Resource assignment, accountability, throughput, workload",core,Separate conformed user dim from project-user bridge,https://developers.procore.com/reference/rest/company-users
Directory,Vendors,company vendors / project vendors,company/project,one row per vendor-company-project association,"vendor_id, project_id, trade, insurance/role context",Vendor performance and exposure analysis,core,Separate vendor org dim from project vendor bridge,https://developers.procore.com/reference/rest/company-vendors
Directory,Departments and Trades,departments / trades,company,one row per department/trade,"department_id, trade_id",Useful normalization for user/vendor analytics,recommended,Reference/master data,https://developers.procore.com/reference/rest/departments
Directory,Roles and Permission Templates,project roles / user project roles / vendor project roles / permission templates,company/project,assignment bridge,user_id/vendor_id to role/template to project,Security and responsibility lineage,recommended,"Useful for ownership and queue analytics, not executive facts",https://developers.procore.com/reference/rest/project-roles
Directory,Project Assignments,project assignments,user/project,one row per assignment relation,"user, project, current/potential assignment, permission template",Staffing visibility and access lineage,optional,Valuable if customer uses these assignment constructs operationally,https://developers.procore.com/reference/rest/project-assignments
Directory,Distribution Groups,distribution groups,company/project,one row per group plus memberships,"distribution_group_id, user memberships",Workflow/notification lineage,optional,Useful when approval/distribution routing analysis matters,https://developers.procore.com/reference/rest/distribution-groups
Schema,Custom Fields,custom fields / LOV entries,company/project/tool,one row per definition or option,"tool, scope, field definition, option set",Required for preserving configurable schema,core,Store definitions and option values; actual values land on facts,https://developers.procore.com/reference/rest/custom-fields?version=1.1
Schema,Generic Tools / Correspondence Types,generic tools / generic tool items,company/project,one row per configurable type or type item,"generic_tool_id, title, privacy",Supports configurable correspondence and custom tool patterns,recommended,Important when company relies on correspondence types,https://developers.procore.com/reference/rest/generic-tools
Schema,Configurable Fieldsets,configurable fieldsets,company/project/tool,one row per fieldset assignment/field behavior,"tool, field, required/optional/hidden",Explains field availability and null patterns,recommended,Metadata only; supports resilient ingestion,https://procore.github.io/documentation/tutorial-config-fieldsets
Reference,Work Breakdown Structure,cost codes / WBS attributes / attribute items / codes / patterns / segment items / sub jobs,company/project,one row per WBS component or code,"wbs_code_id, flat_code, segments, sub_job",Primary financial and labor join path,core,Most important conformed reference layer for finance and labor,https://developers.procore.com/reference/rest/codes
Financials,Budget Summary and Detail,budget / budget details / budget line items,project,budget line / detail row,"project_id, wbs_code_id, line_item_type, amounts",Cost position and baseline/current budget analytics,core,Model current-state and detailed rows separately,https://developers.procore.com/reference/rest/budget?version=1.0
Financials,Budget Views,budget views / budget view detail rows / summary rows,company/project,view row,"budget_view_id, project_id, row metrics",Best analytics surface for curated cost position reporting,core,Supports both company and project queries,https://developers.procore.com/reference/rest/budget-views
Financials,Budget Snapshots,budget view snapshots / snapshot detail rows / project status snapshots,project/view/time,snapshot row,"project_id, budget_view_id, snapshot_at, row metrics",Time-series cost trend analytics,core,Snapshot extraction is central for historical reporting,https://developers.procore.com/reference/rest/budget-view-snapshots
Financials,Budget Changes,budget change summaries / adjustment line items,project,budget change header and adjustment line item,"budget_change_id, status, ERP status, wbs_code_id, change_event_line_item_id",Change exposure and budget transfer analytics,core,Preferred over budget modifications for modern tenants,https://procore.github.io/documentation/tutorial-budget-changes-api
Financials,Change Events,change events,project,change event header (and linked line items where exposed),"project_id, status, change_event_id",Core bridge between field/coordination issues and cost/change,core,Must preserve links to budget changes and change orders,https://developers.procore.com/reference/rest/change-events
Financials,Commitments,commitment contracts / summaries / line items,project/vendor/WBS,contract header and line item,"commitment_id, vendor_id, wbs_code_id, allow_payments",Subcontract exposure and buyout analytics,core,"Separate contract header, line items, and summary facts",https://developers.procore.com/reference/rest/commitment-contracts
Financials,Commitment Change Orders,commitment change orders / line items,project/vendor/WBS,cco header and line item,"commitment_id, cco_id, status, amounts",Downstream subcontract change exposure,core,Key for vendor change lag and margin risk,https://developers.procore.com/reference/rest/commitment-change-orders
Financials,Requisitions / Subcontractor Invoices,requisitions / requisition detail items,project/commitment/period,invoice header and detail item,"commitment_id, billing period, requisition_id",Cash flow and subcontract billing analytics,core,Important for pay-app aging and earned/billed relationships,https://developers.procore.com/reference/rest/requisitions-subcontractor-invoices
Financials,Direct Costs,direct costs,project,direct cost transaction,"project_id, vendor_id, cost linkage",Non-commitment actual cost analytics,recommended,Include when direct costs are materially used,https://developers.procore.com/reference/rest/direct-costs?version=latest
Financials,Prime Contracts,prime contracts / summaries / line items,project/owner/WBS,contract header and line item,"prime_contract_id, vendor_id, wbs_code_id",Revenue-side contract analytics,core,Owner-side financial backbone,https://developers.procore.com/reference/rest/prime-contracts?version=2.0
Financials,Prime Change Orders,prime change orders / batches / line items,project,pco header and line item,"prime_contract_id, pco_id, status, amounts",Owner change exposure and lag analysis,core,Key executive domain,https://developers.procore.com/reference/rest/prime-change-orders
Financials,Owner Invoices / Payments,payment applications (owner invoices) / contract payments,project/prime contract/period,"invoice header, line, payment","owner_invoice_id, billing period, contract_payment_id",Revenue/cash analytics,core,Keep invoice and payment as separate facts,https://developers.procore.com/reference/rest/payment-applications-owner-invoices
Financials,Compliance Documents,commitment compliance documents,project/commitment,compliance document status row,"commitment_id, document status",Vendor compliance risk,optional,Useful if company operationalizes compliance in Procore,https://developers.procore.com/reference/rest/commitment-compliance-documents
Project Management,RFIs,rfis / replies / responses / default distribution,project,rfi and rfi reply,"project_id, rfi_id, status, official response flag, drawing refs",Design coordination and response lag analytics,core,Preserve RFI-to-drawing and RFI-to-user joins,https://developers.procore.com/reference/rest/rfis?version=latest
Project Management,Submittals,submittals / approvers / responses / distributed submittals / packages,project,submittal and workflow response,"project_id, submittal_id, status, approver/response",Approval-cycle and design burden analytics,core,Use modern submittals surface; submittal logs are deprecated,https://developers.procore.com/reference/rest/submittals?version=latest
Project Management,Meetings,meetings / categories / topics,project,meeting header and topic,"meeting_id, category_id, topic_id, dates, assignees",Coordination cadence and issue follow-through,recommended,Useful if meetings are consistently managed in Procore,https://developers.procore.com/reference/rest/meetings?version=latest
Project Management,Correspondence,correspondences with generic tools/types,company/project,correspondence item,"generic_tool_id, correspondence_id, privacy, assignees, distribution",Issue routing and responsibility analytics,recommended,Highly useful when project teams rely on correspondence,https://developers.procore.com/reference/rest/correspondences
Project Management,Forms,forms,project,form instance,"form_id, type, status, dates, responsible users",Operational evidence / workflow support,optional,Useful where forms are standard and repeated,https://developers.procore.com/reference/rest/forms?version=latest
